행정구역(시군구)별,성별,연령별,인구 (명)
전국,계,계,51349259
전국,계,0 - 4세,1760637.5
전국,계,5 - 9세,2305388.5
전국,계,10 - 14세,2314984
전국,계,15 - 19세,2551012.5
전국,계,20 - 24세,3272265
전국,계,25 - 29세,3505179.5
전국,계,30 - 34세,3130579
전국,계,35 - 39세,3786437.5
전국,계,40 - 44세,3863754.5
전국,계,45 - 49세,4380758
전국,계,50 - 54세,4331294
전국,계,55 - 59세,4207585
전국,계,60 - 64세,3804709.5
전국,계,65 - 69세,2635592
전국,계,70 - 74세,2000708.5
전국,계,75 - 79세,1602662.5
전국,계,80세 이상,1895711.5
전국,계,80 - 84세,1110911.5
전국,계,85세 이상,784800
전국,계,85 - 89세,549650.5
전국,계,90 - 94세,188043.5
전국,계,95 - 99세,41268.5
전국,계,100세 이상,5837.5
전국,남자,계,25606080.5
전국,남자,0 - 4세,903178
전국,남자,5 - 9세,1182550.5
전국,남자,10 - 14세,1192976.5
전국,남자,15 - 19세,1325906
전국,남자,20 - 24세,1709726
전국,남자,25 - 29세,1852731
전국,남자,30 - 34세,1623891.5
전국,남자,35 - 39세,1933535.5
전국,남자,40 - 44세,1962337
전국,남자,45 - 49세,2224690
전국,남자,50 - 54세,2184220
전국,남자,55 - 59세,2115455
전국,남자,60 - 64세,1878929.5
전국,남자,65 - 69세,1271779.5
전국,남자,70 - 74세,934279.5
전국,남자,75 - 79세,682114.5
전국,남자,80세 이상,627780.5
전국,남자,80 - 84세,413379.5
전국,남자,85세 이상,214401
전국,남자,85 - 89세,163454
전국,남자,90 - 94세,42101.5
전국,남자,95 - 99세,7951
전국,남자,100세 이상,894.5
전국,여자,계,25743178.5
전국,여자,0 - 4세,857459.5
전국,여자,5 - 9세,1122838
전국,여자,10 - 14세,1122007.5
전국,여자,15 - 19세,1225106.5
전국,여자,20 - 24세,1562539
전국,여자,25 - 29세,1652448.5
전국,여자,30 - 34세,1506687.5
전국,여자,35 - 39세,1852902
전국,여자,40 - 44세,1901417.5
전국,여자,45 - 49세,2156068
전국,여자,50 - 54세,2147074
전국,여자,55 - 59세,2092130
전국,여자,60 - 64세,1925780
전국,여자,65 - 69세,1363812.5
전국,여자,70 - 74세,1066429
전국,여자,75 - 79세,920548
전국,여자,80세 이상,1267931
전국,여자,80 - 84세,697532
전국,여자,85세 이상,570399
전국,여자,85 - 89세,386196.5
전국,여자,90 - 94세,145942
전국,여자,95 - 99세,33317.5
전국,여자,100세 이상,4943
서울특별시,계,계,9533412
서울특별시,계,0 - 4세,285507
서울특별시,계,5 - 9세,356875.5
서울특별시,계,10 - 14세,369850.5
서울특별시,계,15 - 19세,427350
서울특별시,계,20 - 24세,631877.5
서울특별시,계,25 - 29세,816546
서울특별시,계,30 - 34세,719526
서울특별시,계,35 - 39세,756788
서울특별시,계,40 - 44세,714459
서울특별시,계,45 - 49세,801398.5
서울특별시,계,50 - 54세,762279.5
서울특별시,계,55 - 59세,732788
서울특별시,계,60 - 64세,689251
서울특별시,계,65 - 69세,496050
서울특별시,계,70 - 74세,385833.5
서울특별시,계,75 - 79세,289716.5
서울특별시,계,80세 이상,297315.5
서울특별시,계,80 - 84세,178205.5
서울특별시,계,85세 이상,119110
서울특별시,계,85 - 89세,81871.5
서울특별시,계,90 - 94세,29509.5
서울특별시,계,95 - 99세,6768.5
서울특별시,계,100세 이상,960.5
서울특별시,남자,계,4642652.5
서울특별시,남자,0 - 4세,146911.5
서울특별시,남자,5 - 9세,182973.5
서울특별시,남자,10 - 14세,190280.5
서울특별시,남자,15 - 19세,219320.5
서울특별시,남자,20 - 24세,303775.5
서울특별시,남자,25 - 29세,402080.5
서울특별시,남자,30 - 34세,359044.5
서울특별시,남자,35 - 39세,379352.5
서울특별시,남자,40 - 44세,353614
서울특별시,남자,45 - 49세,396805.5
서울특별시,남자,50 - 54세,375169
서울특별시,남자,55 - 59세,356333
서울특별시,남자,60 - 64세,326997
서울특별시,남자,65 - 69세,233225
서울특별시,남자,70 - 74세,177616
서울특별시,남자,75 - 79세,130497.5
서울특별시,남자,80세 이상,108656.5
서울특별시,남자,80 - 84세,72557.5
서울특별시,남자,85세 이상,36099
서울특별시,남자,85 - 89세,26993
서울특별시,남자,90 - 94세,7378.5
서울특별시,남자,95 - 99세,1550
서울특별시,남자,100세 이상,177.5
서울특별시,여자,계,4890759.5
서울특별시,여자,0 - 4세,138595.5
서울특별시,여자,5 - 9세,173902
서울특별시,여자,10 - 14세,179570
서울특별시,여자,15 - 19세,208029.5
서울특별시,여자,20 - 24세,328102
서울특별시,여자,25 - 29세,414465.5
서울특별시,여자,30 - 34세,360481.5
서울특별시,여자,35 - 39세,377435.5
서울특별시,여자,40 - 44세,360845
서울특별시,여자,45 - 49세,404593
서울특별시,여자,50 - 54세,387110.5
서울특별시,여자,55 - 59세,376455
서울특별시,여자,60 - 64세,362254
서울특별시,여자,65 - 69세,262825
서울특별시,여자,70 - 74세,208217.5
서울특별시,여자,75 - 79세,159219
서울특별시,여자,80세 이상,188659
서울특별시,여자,80 - 84세,105648
서울특별시,여자,85세 이상,83011
서울특별시,여자,85 - 89세,54878.5
서울특별시,여자,90 - 94세,22131
서울특별시,여자,95 - 99세,5218.5
서울특별시,여자,100세 이상,783
 종로구,계,계,144865.5
 종로구,계,0 - 4세,3309
 종로구,계,5 - 9세,4548.5
 종로구,계,10 - 14세,5120
